date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:54:02	60438/60438	---M-Z	200	added ('OK')	text/html	date:Tue,%2028%20Nov%202023%2019:09:34%20GMT	https://devsaidul.com/tm/html/estudy/?storefront=envato-elements	C:/Mes%20Sites%20Web/e-club2/devsaidul.com/tm/html/estudy/index04b9.html	(from )
17:54:02	708/708	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2006%20Feb%202024%2016:53:52%20GMT	https://devsaidul.com/robots.txt		(from )
17:54:02	3122/3122	---M--	200	added ('OK')	image/png	date:Wed,%2015%20Nov%202023%2008:35:56%20GMT	https://devsaidul.com/tm/html/estudy/assets/images/fav-icon/icon.png	C:/Mes%20Sites%20Web/e-club2/devsaidul.com/tm/html/estudy/assets/images/fav-icon/icon.png	(from https://devsaidul.com/tm/html/estudy/?storefront=envato-elements)
17:54:03	155845/155845	---M-Z	200	added ('OK')	text/css	date:Wed,%2023%20Jun%202021%2000:25:36%20GMT	https://devsaidul.com/tm/html/estudy/assets/css/bootstrap.min.css	C:/Mes%20Sites%20Web/e-club2/devsaidul.com/tm/html/estudy/assets/css/bootstrap.min.css	(from https://devsaidul.com/tm/html/estudy/?storefront=envato-elements)
17:54:03	3351/3351	---M-Z	200	added ('OK')	text/css	date:Sat,%2012%20Aug%202023%2015:09:50%20GMT	https://devsaidul.com/tm/html/estudy/assets/css/owl.carousel.min.css	C:/Mes%20Sites%20Web/e-club2/devsaidul.com/tm/html/estudy/assets/css/owl.carousel.min.css	(from https://devsaidul.com/tm/html/estudy/?storefront=envato-elements)
17:54:03	73641/73641	---M-Z	200	added ('OK')	text/css	date:Mon,%2020%20Nov%202023%2009:26:00%20GMT	https://devsaidul.com/tm/html/estudy/assets/css/animate.css	C:/Mes%20Sites%20Web/e-club2/devsaidul.com/tm/html/estudy/assets/css/animate.css	(from https://devsaidul.com/tm/html/estudy/?storefront=envato-elements)
17:54:04	58925/58925	---M-Z	200	added ('OK')	text/css	date:Wed,%2015%20Nov%202023%2010:17:58%20GMT	https://devsaidul.com/tm/html/estudy/assets/css/all.min.css	C:/Mes%20Sites%20Web/e-club2/devsaidul.com/tm/html/estudy/assets/css/all.min.css	(from https://devsaidul.com/tm/html/estudy/?storefront=envato-elements)
17:54:04	7226/7226	---M-Z	200	added ('OK')	text/css	date:Sun,%2018%20Apr%202021%2012:06:06%20GMT	https://devsaidul.com/tm/html/estudy/assets/css/flaticon.css	C:/Mes%20Sites%20Web/e-club2/devsaidul.com/tm/html/estudy/assets/css/flaticon.css	(from https://devsaidul.com/tm/html/estudy/?storefront=envato-elements)
17:54:04	12708/12708	---M-Z	200	added ('OK')	text/css	date:Wed,%2015%20Nov%202023%2010:16:46%20GMT	https://devsaidul.com/tm/html/estudy/assets/css/theme-default.css	C:/Mes%20Sites%20Web/e-club2/devsaidul.com/tm/html/estudy/assets/css/theme-default.css	(from https://devsaidul.com/tm/html/estudy/?storefront=envato-elements)
17:54:04	513/513	---M-Z	200	added ('OK')	text/css	date:Tue,%2021%20Nov%202023%2021:05:10%20GMT	https://devsaidul.com/tm/html/estudy/assets/css/meanmenu.min.css	C:/Mes%20Sites%20Web/e-club2/devsaidul.com/tm/html/estudy/assets/css/meanmenu.min.css	(from https://devsaidul.com/tm/html/estudy/?storefront=envato-elements)
17:54:05	4476/4476	---M-Z	200	added ('OK')	text/css	date:Fri,%2018%20Apr%202014%2003:33:26%20GMT	https://devsaidul.com/tm/html/estudy/assets/css/owl.transitions.css	C:/Mes%20Sites%20Web/e-club2/devsaidul.com/tm/html/estudy/assets/css/owl.transitions.css	(from https://devsaidul.com/tm/html/estudy/?storefront=envato-elements)
